Date,City,Country,Mode,Ridership,Population_Million,Passenger_per_Capita,GDP_Billion_USD,PM25_Mean_ug_m3
2022-01-01,Bangkok,Thailand,RL,255887.0,10.9,0.023475871559633026,524.0,21.2
2022-01-01,Bangkok,Thailand,SRT,990553.0,10.9,0.09087642201834863,524.0,21.2
2022-02-01,Bangkok,Thailand,ARL,867698.0,10.9,0.07960532110091743,524.0,21.2
2022-02-01,Bangkok,Thailand,BTS,11057595.0,10.9,1.0144582568807339,524.0,21.2
2022-02-01,Bangkok,Thailand,MRT,5895238.0,10.9,0.5408475229357799,524.0,21.2
2022-02-01,Bangkok,Thailand,RL,269500.0,10.9,0.024724770642201833,524.0,21.2
2022-02-01,Bangkok,Thailand,SRT,869756.0,10.9,0.07979412844036697,524.0,21.2
2022-03-01,Bangkok,Thailand,ARL,954550.0,10.9,0.08757339449541285,524.0,21.2
2022-03-01,Bangkok,Thailand,BTS,11875137.0,10.9,1.0894621100917432,524.0,21.2
2022-03-01,Bangkok,Thailand,MRT,6135145.0,10.9,0.5628573394495413,524.0,21.2
2022-03-01,Bangkok,Thailand,RL,273572.0,10.9,0.02509834862385321,524.0,21.2
2022-03-01,Bangkok,Thailand,SRT,959538.0,10.9,0.08803100917431193,524.0,21.2
2022-04-01,Bangkok,Thailand,ARL,899427.0,10.9,0.0825162385321101,524.0,21.2
2022-04-01,Bangkok,Thailand,BTS,10998518.0,10.9,1.0090383486238532,524.0,21.2
2022-04-01,Bangkok,Thailand,MRT,5601120.0,10.9,0.5138642201834862,524.0,21.2
2022-04-01,Bangkok,Thailand,RL,254977.0,10.9,0.02339238532110092,524.0,21.2
2022-04-01,Bangkok,Thailand,SRT,1124025.0,10.9,0.10312155963302752,524.0,21.2
2022-05-01,Bangkok,Thailand,ARL,1179857.0,10.9,0.10824376146788992,524.0,21.2
2022-05-01,Bangkok,Thailand,BTS,14366597.0,10.9,1.3180364220183487,524.0,21.2
2022-05-01,Bangkok,Thailand,MRT,7309083.0,10.9,0.6705580733944954,524.0,21.2
2022-05-01,Bangkok,Thailand,RL,327949.0,10.9,0.030087064220183486,524.0,21.2
2022-05-01,Bangkok,Thailand,SRT,1349815.0,10.9,0.1238362385321101,524.0,21.2
2022-06-01,Bangkok,Thailand,ARL,1353875.0,10.9,0.12420871559633027,524.0,21.2
2022-06-01,Bangkok,Thailand,BTS,17125599.0,10.9,1.571155871559633,524.0,21.2
2022-06-01,Bangkok,Thailand,MRT,8874766.0,10.9,0.8141987155963303,524.0,21.2
2022-06-01,Bangkok,Thailand,RL,396330.0,10.9,0.0363605504587156,524.0,21.2
2022-06-01,Bangkok,Thailand,SRT,1455787.0,10.9,0.13355844036697248,524.0,21.2
2022-07-01,Bangkok,Thailand,ARL,1422255.0,10.9,0.13048211009174313,524.0,21.2
2022-07-01,Bangkok,Thailand,BTS,17137986.0,10.9,1.5722922935779817,524.0,21.2
2022-07-01,Bangkok,Thailand,MRT,8863853.0,10.9,0.8131975229357798,524.0,21.2
2022-07-01,Bangkok,Thailand,RL,436791.0,10.9,0.04007256880733945,524.0,21.2
2022-07-01,Bangkok,Thailand,SRT,1757471.0,10.9,0.16123587155963304,524.0,21.2
2022-08-01,Bangkok,Thailand,ARL,1599694.0,10.9,0.14676091743119266,524.0,21.2
2022-08-01,Bangkok,Thailand,BTS,19142745.0,10.9,1.7562151376146788,524.0,21.2
2022-08-01,Bangkok,Thailand,MRT,10322070.0,10.9,0.9469788990825688,524.0,21.2
2022-08-01,Bangkok,Thailand,RL,472221.0,10.9,0.04332302752293578,524.0,21.2
2022-08-01,Bangkok,Thailand,SRT,1682185.0,10.9,0.1543288990825688,524.0,21.2
2022-09-01,Bangkok,Thailand,ARL,1655404.0,10.9,0.15187192660550458,524.0,21.2
2022-09-01,Bangkok,Thailand,BTS,19649655.0,10.9,1.802720642201835,524.0,21.2
2022-09-01,Bangkok,Thailand,MRT,10795185.0,10.9,0.9903839449541284,524.0,21.2
2022-09-01,Bangkok,Thailand,RL,494532.0,10.9,0.04536990825688073,524.0,21.2
2022-09-01,Bangkok,Thailand,SRT,1630506.0,10.9,0.14958770642201835,524.0,21.2
2022-10-01,Bangkok,Thailand,ARL,1689766.0,10.9,0.15502440366972478,524.0,21.2
2022-10-01,Bangkok,Thailand,BTS,20327465.0,10.9,1.8649050458715597,524.0,21.2
2022-10-01,Bangkok,Thailand,MRT,10769119.0,10.9,0.9879925688073394,524.0,21.2
2022-10-01,Bangkok,Thailand,RL,521285.0,10.9,0.0478243119266055,524.0,21.2
2022-10-01,Bangkok,Thailand,SRT,1957265.0,10.9,0.17956559633027522,524.0,21.2
2022-11-01,Bangkok,Thailand,ARL,1713797.0,10.9,0.15722908256880733,524.0,21.2
2022-11-01,Bangkok,Thailand,BTS,20693374.0,10.9,1.8984746788990825,524.0,21.2
2022-11-01,Bangkok,Thailand,MRT,10776930.0,10.9,0.9887091743119266,524.0,21.2
2022-11-01,Bangkok,Thailand,RL,530382.0,10.9,0.048658899082568804,524.0,21.2
2022-11-01,Bangkok,Thailand,SRT,1910382.0,10.9,0.17526440366972476,524.0,21.2
2022-12-01,Bangkok,Thailand,ARL,1771731.0,10.9,0.16254412844036698,524.0,21.2
2022-12-01,Bangkok,Thailand,BTS,22061475.0,10.9,2.0239885321100917,524.0,21.2
2022-12-01,Bangkok,Thailand,MRT,11158290.0,10.9,1.0236963302752293,524.0,21.2
2022-12-01,Bangkok,Thailand,RL,524668.0,10.9,0.048134678899082566,524.0,21.2
2022-12-01,Bangkok,Thailand,SRT,2013515.0,10.9,0.18472614678899082,524.0,21.2
2023-01-01,Bangkok,Thailand,ARL,1823005.0,11.09,0.16438277727682596,536.0,21.4
2023-01-01,Bangkok,Thailand,BTS,21679786.0,11.09,1.9548950405770964,536.0,21.4
2023-01-01,Bangkok,Thailand,MRT,11907867.0,11.09,1.0737481514878269,536.0,21.4
2023-01-01,Bangkok,Thailand,RL,571653.0,11.09,0.051546708746618576,536.0,21.4
2023-01-01,Bangkok,Thailand,SRT,2076712.0,11.09,0.18725987376014427,536.0,21.4
2023-02-01,Bangkok,Thailand,ARL,1725828.0,11.09,0.15562019837691615,536.0,21.4
2023-02-01,Bangkok,Thailand,BTS,20916558.0,11.09,1.886073760144274,536.0,21.4
2023-02-01,Bangkok,Thailand,MRT,11616749.0,11.09,1.0474976555455364,536.0,21.4
2023-02-01,Bangkok,Thailand,RL,589214.0,11.09,0.053130207394048695,536.0,21.4
2023-02-01,Bangkok,Thailand,SRT,1766179.0,11.09,0.15925870153291252,536.0,21.4
2023-03-01,Bangkok,Thailand,ARL,1877280.0,11.09,0.16927682596934174,536.0,21.4
2023-03-01,Bangkok,Thailand,BTS,21792634.0,11.09,1.9650706943192064,536.0,21.4
2023-03-01,Bangkok,Thailand,MRT,12070764.0,11.09,1.0884367899008116,536.0,21.4
2023-03-01,Bangkok,Thailand,RL,617286.0,11.09,0.05566149684400361,536.0,21.4
2023-03-01,Bangkok,Thailand,SRT,1992637.0,11.09,0.17967871956717762,536.0,21.4
